answer_id,belongs_question_id,belongs_question_type,answer_title,is_correct,image_id,answer_two_gap_match,answer_view_format,answer_settings,answer_order
32,13,single_choice,ใช้สัญลักษณ์ตามที่กำหนดไว้เพียงบางครั้ง,NULL,0,NULL,text,NULL,2
33,13,single_choice,"ใช้คำอธิบายเนื้อหาให้ยาวได้มากที่สุด เพื่อให้ผู้อ่านเข้าใจในผังงาน",NULL,0,NULL,text,NULL,3
34,13,single_choice,ไม่จำเป็นต้องมีการทดสอบความถูกต้องของผังงาน,NULL,0,NULL,text,NULL,4
35,14,single_choice,ใช้คําสั่งเป็นภาษาคอมพิวเตอร์ระดับสูง,0,0,NULL,text,NULL,1
36,14,single_choice,"ใช้ย่อหน้าในการแสดงกลุ่มของเงื่อนไข และคําสั่งย่อย",1,0,NULL,text,NULL,2
37,14,single_choice,ในการเขียนคําส่ังสามารถมีทางออกหรือสิ้นสุดได้หลายทาง,NULL,0,NULL,text,NULL,3
38,14,single_choice,ในการเขียนคําสั่งไม่จําเป็นต้องเรียงลําดับการทํางาน,NULL,0,NULL,text,NULL,4
39,15,single_choice,"โปรแกรมภาษาพัฒนาโดยทีมงาน Media Lap MIT",0,0,NULL,text,NULL,1
40,15,single_choice,โปรแกรมฝึกการเขียนคำสั่งด้วยการเขียนโปรแกรมภาษาอย่างง่าย,0,0,NULL,text,NULL,2
41,15,single_choice,โปรแกรมในการต่อบล็อกคําสั่งเพื่อสร้างโปรแกรมสคริปต์ให้กับตัวละครเท่านั้น,0,0,NULL,text,NULL,3
42,15,single_choice,"โปรแกรมภาษาที่ผู้เรียนสามารถสร้างชิ้นงานได้อย่างง่าย เช่น นิทานที่สามารถโต้ตอบกับผู้อ่านได้ ภาพเคลื่อนไหว เกม ดนตรี และศิลปะ",1,0,NULL,text,NULL,4
43,16,single_choice,"ภาษาที่ใช้ในการสร้างหน้าเว็บ มีการใช้คำแนะนำและชุดแท็กต่าง ๆ เพื่อกำหนดลักษณะของเอกสาร",1,0,NULL,text,NULL,1
44,16,single_choice,ชุดคำสั่งที่กำหนดวิธีที่เว็บเซิร์ฟเวอร์และเบราว์เซอร์ควรโต้ตอบ,NULL,0,NULL,text,NULL,2
45,16,single_choice,ภาษาเขียนโปรแกรมระดับสูงที่ใช้กันอย่างกว้างขวางในการเขียนโปรแกรมสำหรับวัตถุประสงค์ทั่วไป,NULL,0,NULL,text,NULL,3
46,16,single_choice,"ชื่อภาษาที่ใช้ในการเขียนโปรแกรมภาษาหนึ่ง ซึ่งถูกพัฒนาขึ้นมาโดย ไม่ยึดติดกับ แพลตฟอร์ม",NULL,0,NULL,text,NULL,4
47,17,single_choice,เป็นโครงสร้างข้อมูลพื้นฐาน,0,0,NULL,text,NULL,1
48,17,single_choice,ข้อมูลในลักษณะที่เป็นชุดข้อมูลเชื่อมโยงต่อเนื่องกันได้,0,0,NULL,text,NULL,2
49,17,single_choice,"เป็นโครงสร้างการเก็บข้อมูลแบบเรียงทับซ้อน ที่ใช้นโยบายการจัดการข้อมูลแบบเข้าก่อน ออกทีหลัง",0,0,NULL,text,NULL,3
50,17,single_choice,"เป็นโครงสร้างการเก็บข้อมูลที่ใช้นโยบายการจัดการ ข้อมูลแบบเข้าก่อน ออกก่อน",1,0,NULL,text,NULL,4
51,18,single_choice," เป็นบัสแบบสองทิศทางใช้ในการส่งถ่ายข้อมูลระหว่างซีพียูกับยังหน่วยความจำ",1,0,NULL,text,NULL,1
52,18,single_choice,เป็นบัสที่ใช้สำหรับเป็นเส้นทางเดินของสัญญาณกำหนดเวลา,NULL,0,NULL,text,NULL,2
53,18,single_choice,เป็นบัสแบบทิศทางเดียวเป็นสัญญาณที่สร้างจากซีพียูที่ใช้ในการระบุตำแหน่งของหน่วยความจำ,NULL,0,NULL,text,NULL,3
54,18,single_choice,ถูกทุกข้อ,NULL,0,NULL,text,NULL,4
55,19,single_choice,"อ่านคำสั่งจากหน่วยความจำเข้ามาไว้ภายใน CPU",0,0,NULL,text,NULL,1
56,19,single_choice,"เปลี่ยนค่า Program Counter (PC)",0,0,NULL,text,NULL,2
57,19,single_choice,เปรียบเสมือนสมองของคอมพิวเตอร์,0,0,NULL,text,NULL,3
58,19,single_choice,ทำการถอดรหัสคำสั่ง,1,0,NULL,text,NULL,4
59,20,single_choice,เหมือนสายสัญญาณโทรศัพท์มีทองแดงอยู่ตรงแนวกลางหุ้มด้วยฉนวนและสายดิน,0,0,NULL,text,NULL,1
60,20,single_choice,"เหมือนสายโทรศัพท์ตามบ้านภายในประกอบด้วยสายทองแดง 4 เส้น และหุ้มด้วยฉนวนภายนอก",1,0,NULL,text,NULL,2
61,20,single_choice,"คล้ายสายโทรศัพท์ตามบ้านภายในประกอบด้วยสายทองแดง 8 เส้น",0,0,NULL,text,NULL,3
62,20,single_choice,"คล้ายสายโทรศัพท์ตามบ้านภายในประกอบด้วยสายทองแดง 8 เส้น ด้านนอกมีฉนวนหุ้ม",0,0,NULL,text,NULL,4
63,21,single_choice,"True or False statements",1,0,NULL,text,NULL,1
64,21,single_choice,"A way to learn the coding to one side.",NULL,0,NULL,text,NULL,2
65,21,single_choice,"A way to write numbers.",NULL,0,NULL,text,NULL,3
66,21,single_choice,"They are the proper way of writing code.",NULL,0,NULL,text,NULL,4
67,22,single_choice,การเลือกลายเส้นมาประกอบกันเพื่อให้เกิดความทันสมัย,0,0,NULL,text,NULL,1
68,22,single_choice,การจัดการกับเส้นเพื่อให้อยู่ในรูปความสวยงาม,0,0,NULL,text,NULL,2
69,22,single_choice,"การนำเส้นรูปต่าง ๆ มาประกอบเข้าด้วยกันเพื่อให้เกิดเป็นรูปร่างตามต้องการ",0,0,NULL,text,NULL,3
70,22,single_choice,การถ่ายทอดรูปแบบความคิดออกมาเป็นผลงานที่ผู้อื่นสามารถรับรู้และมีความเข้าใจที่ตรงกัน,1,0,NULL,text,NULL,4
71,23,single_choice,"เป็นเครือข่ายสาธารณะซึ่งสามารถใช้แลกเปลี่ยนข้อมูลและทำงานรูปแบบต่าง ๆ ได้",1,0,NULL,text,NULL,1
72,23,single_choice,เป็นเครือข่ายที่จัดตั้งขึ้นเพื่อระดมมวลชนในการเปลี่ยนแปลงทางการเมือง,NULL,0,NULL,text,NULL,2
73,23,single_choice,"เป็นเครือข่ายภายในองค์กรซึ่งสามารถใช้แจ้งข่าวสารข้อมูลต่าง ๆ ได้",NULL,0,NULL,text,NULL,3
74,23,single_choice,เป็นเครือข่ายเฉพาะซึ่งผู้เข้าใช้งานจะต้องมีการลงชื่อเข้าใช้ทุกครั้ง,NULL,0,NULL,text,NULL,4
75,24,single_choice,การเดารหัสผ่าน,0,0,NULL,text,NULL,1
76,24,single_choice,"การโจมตี Denial of Service (DoS)",0,0,NULL,text,NULL,2
77,24,single_choice,"การปล่อยไวรัส ที่เรียกตัวเองว่า “สมอง”",1,0,NULL,text,NULL,3
78,24,single_choice,การใส่รหัสผ่านหลายๆครั้ง,0,0,NULL,text,NULL,4
79,25,single_choice," แตกต่างตรงที่สามารถเชื่อมโยงได้ ในระยะทางที่ไกลมากกว่า",1,0,NULL,text,NULL,1
80,25,single_choice,"มีการใช้งานที่คุ้มค่ากว่า และสามารถเชื่อมต่อได้อย่างหลากหลาย",NULL,0,NULL,text,NULL,2
81,25,single_choice,"มีประสิทธิภาพกว่าประมวนผลไม่ค่อยถูกต้อง และไม่ค่อยแม่นยำ",NULL,0,NULL,text,NULL,3
82,25,single_choice,"ราคาถูกกว่าเป็นอย่างมาก เมื่อเทียบกับ LAN",NULL,0,NULL,text,NULL,4
83,26,single_choice,"1 Layer",0,0,NULL,text,NULL,1
84,26,single_choice,"3 Layers",0,0,NULL,text,NULL,2
85,26,single_choice,"5 Layers",0,0,NULL,text,NULL,3
86,26,single_choice,"7 Layers",1,0,NULL,text,NULL,4
87,27,single_choice,"การรวมกันของฮาร์ดแวร์ และซอฟต์แวร์",0,0,NULL,text,NULL,1
88,27,single_choice,"ระบบหรือกลุ่ม ที่จัดการการเข้าถึงระหว่างเครือข่ายสองเครือข่ายหรือมากกว่า",1,0,NULL,text,NULL,2
89,27,single_choice,"กำหนดเส้นทางพื้นฐานระหว่าง LAN เสมือน",0,0,NULL,text,NULL,3
90,27,single_choice,อำนวยความสะดวกในการสื่อสารภายในอินเตอร์เน็ต,NULL,0,NULL,text,NULL,4
91,28,single_choice,เป็นภาษาที่อธิบายถึงรายละเอียดของโครงสร้างและแบบของข้อมูล,0,0,NULL,text,NULL,1
92,28,single_choice," เป็นภาษาพื้นฐานของการพัฒนาเว็บไซต์โดยเฉพาะ",1,0,NULL,text,NULL,2
93,28,single_choice,เป็นภาษาที่ให้การชัดเจนในการแสดงรายละเอียดเกี่ยวกับข้อมูล,0,0,NULL,text,NULL,3
94,28,single_choice,ภาษาโปรแกรมเชิงวัตถุ,NULL,0,NULL,text,NULL,4
95,29,single_choice,Server,0,0,NULL,text,NULL,1
96,29,single_choice,Client,1,0,NULL,text,NULL,2
97,29,single_choice,ISP,NULL,0,NULL,text,NULL,3
98,29,single_choice,Browser,NULL,0,NULL,text,NULL,4
99,30,single_choice,"script src=”geek.js”",1,0,NULL,text,NULL,1
100,30,single_choice,"script href=”geek.js”",NULL,0,NULL,text,NULL,2
101,30,single_choice,"script ref=”geek.js”",NULL,0,NULL,text,NULL,3
102,30,single_choice,"script name=”geek.js”",NULL,0,NULL,text,NULL,4
103,31,single_choice,compiled,0,0,NULL,text,NULL,1
104,31,single_choice,Interpreted,1,0,NULL,text,NULL,2
105,31,single_choice,"ถูกทั้ง A และ B",NULL,0,NULL,text,NULL,3
106,31,single_choice,ไม่มีข้อถูก,NULL,0,NULL,text,NULL,4
107,32,single_choice,alertbox(“GeeksforGeeks”);,0,0,NULL,text,NULL,1
108,32,single_choice,msg(“GeeksforGeeks”);,0,0,NULL,text,NULL,2
109,32,single_choice,msgbox(“GeeksforGeeks”);,0,0,NULL,text,NULL,3
110,32,single_choice,alert(“GeeksforGeeks”);,1,0,NULL,text,NULL,4
111,33,single_choice,16,0,0,NULL,text,NULL,1
112,33,single_choice,"Compilation Error",0,0,NULL,text,NULL,2
113,33,single_choice,88,1,0,NULL,text,NULL,3
114,33,single_choice,"Run Time Error",0,0,NULL,text,NULL,4
115,34,single_choice,Interface,0,0,NULL,text,NULL,1
116,34,single_choice,Throws,0,0,NULL,text,NULL,2
117,34,single_choice,Program,1,0,NULL,text,NULL,3
118,34,single_choice,Short,NULL,0,NULL,text,NULL,4
119,35,single_choice,strip(),0,0,NULL,text,NULL,1
120,35,single_choice,trim(),1,0,NULL,text,NULL,2
121,35,single_choice,stripped(),0,0,NULL,text,NULL,3
122,35,single_choice,trimmed(),0,0,NULL,text,NULL,4
123,36,single_choice,"string / number",1,0,NULL,text,NULL,1
124,36,single_choice,"string / string",0,0,NULL,text,NULL,2
125,36,single_choice,"null / null",0,0,NULL,text,NULL,3
126,36,single_choice,"string / integer",0,0,NULL,text,NULL,4
127,37,single_choice,"function = Geekfunc()",0,0,NULL,text,NULL,1
128,37,single_choice,"function  Geekfunc()",1,0,NULL,text,NULL,2
129,37,single_choice,"function := Geekfunc()",NULL,0,NULL,text,NULL,3
130,37,single_choice,"function : Geekfunc()",NULL,0,NULL,text,NULL,4
131,38,single_choice,"มัน return object ด้วยกลุ่มสี และ array ที่มีค่าของ param",0,0,NULL,text,NULL,1
132,38,single_choice,"มันเปลี่ยน red,green และ blue เป็นค่า hex values ของมัน",1,0,NULL,text,NULL,2
133,38,single_choice,"ถูกทั้ง A และ B",NULL,0,NULL,text,NULL,3
134,38,single_choice,ไม่มีข้อถูก,NULL,0,NULL,text,NULL,4
135,39,multiple_choice,บริษัทที่ใช้แต่Technology,NULL,0,NULL,text,NULL,1
136,39,multiple_choice,บริษัทที่เน้นการเติบโตอย่างรวดเร็ว,1,0,NULL,text,NULL,2
137,39,multiple_choice,บริษัทที่เน้นขายผ่านช่องทางออนไลน์,NULL,0,NULL,text,NULL,3
138,39,multiple_choice,บริษัทที่สามารถขยายตัวได้รวดเร็ว,1,0,NULL,text,NULL,4
139,40,single_choice,"ความสามารถในการสร้าง Technology",0,0,NULL,text,NULL,1
140,40,single_choice,ความสามารถในการทำกำไร,0,0,NULL,text,NULL,2
141,40,single_choice,ความสามารถในการหาเงินทุน,0,0,NULL,text,NULL,3
142,40,single_choice,ความสามารถในการปรับตัว,1,0,NULL,text,NULL,4
143,42,single_choice,Agile,0,0,NULL,text,NULL,1
144,42,single_choice,Scrum,0,0,NULL,text,NULL,2
145,42,single_choice,Waterfall,1,0,NULL,text,NULL,3
146,42,single_choice,Learn,0,0,NULL,text,NULL,4
147,43,single_choice,เพื่อหาเงินลงทุน,0,0,NULL,text,NULL,1
148,43,single_choice,เพื่อพิสูจน์ปัญหาและกลุ่มเป้าหมาย,1,0,NULL,text,NULL,2
149,43,single_choice,เพื่อขายสินค้าล่วงหน้า,NULL,0,NULL,text,NULL,3
150,43,single_choice,เพื่อสร้างฐานลูกค้า,NULL,0,NULL,text,NULL,4
151,44,single_choice,รู้ว่าตัวเองมีปัญหา,0,0,NULL,text,NULL,1
152,44,single_choice,มองหาวิธีแก้ปัญหา,0,0,NULL,text,NULL,2
153,44,single_choice,จ่ายเงินเพื่อแก้ปัญหา,1,0,NULL,text,NULL,3
154,44,single_choice,มีปัญหาจริง,NULL,0,NULL,text,NULL,4
155,45,single_choice,เพื่อไปรับฟังปัญหาของลูกค้า,1,0,NULL,text,NULL,1
156,45,single_choice,เพื่อไปเสนอวิธีแก้ปัญหา,0,0,NULL,text,NULL,2
157,45,single_choice,เพื่อไปขายสินค้า,NULL,0,NULL,text,NULL,3
158,45,single_choice,เพื่อไปขอคำปรึกษา,NULL,0,NULL,text,NULL,4
159,46,single_choice,สวยงามทันสมัย,0,0,NULL,text,NULL,1
160,46,single_choice,"ใช้ Technology ที่ดี",0,0,NULL,text,NULL,2
161,46,single_choice,สื่อสารได้ว่าสินค้าของเราคืออะไร,1,0,NULL,text,NULL,3
162,46,single_choice,"ควรจะยาว ๆ เพื่อของ Page สามารถขึ้นบินได้ง่าย",NULL,0,NULL,text,NULL,4
163,47,single_choice,"ทำ PAPER PROTOTYPE",0,0,NULL,text,NULL,1
164,47,single_choice,"ทำ Landing Page เพื่อทดสอบความสนใจ",1,0,NULL,text,NULL,2
165,47,single_choice,"ทำ CONCIERGE MVP",NULL,0,NULL,text,NULL,3
166,47,single_choice,"ทำ instant page เพื่อทดสอบข้อจำกัดของเพจ",NULL,0,NULL,text,NULL,4
168,48,single_choice,h1,1,0,NULL,text,NULL,1
169,48,single_choice,h6,0,0,NULL,text,NULL,2
170,48,single_choice,heading,NULL,0,NULL,text,NULL,3
171,48,single_choice,head,NULL,0,NULL,text,NULL,4
172,48,single_choice,top,NULL,0,NULL,text,NULL,5
173,48,single_choice,toping,NULL,0,NULL,text,NULL,6
174,48,single_choice,highlight,NULL,0,NULL,text,NULL,7
175,48,single_choice,important,NULL,0,NULL,text,NULL,8
176,49,single_choice,callline,0,0,NULL,text,NULL,1
177,49,single_choice,breakline,0,0,NULL,text,NULL,2
178,49,single_choice,bl,0,0,NULL,text,NULL,3
179,49,single_choice,nl,0,0,NULL,text,NULL,4
180,49,single_choice,newline,0,0,NULL,text,NULL,5
181,49,single_choice,linebreak,0,0,NULL,text,NULL,6
182,49,single_choice,br,1,0,NULL,text,NULL,7
183,49,single_choice,break,0,0,NULL,text,NULL,8
184,50,single_choice,"[body bg=yellow]",0,0,NULL,text,NULL,1
185,50,single_choice,"[background] yellow [/background]",0,0,NULL,text,NULL,2
186,50,single_choice,"[bg] yellow [/bg]",0,0,NULL,text,NULL,3
187,50,single_choice,"[ body style = backgroundColor :yellow ]",0,0,NULL,text,NULL,4
188,50,single_choice,"[ body style = background-color: yellow ]",1,0,NULL,text,NULL,5
189,50,single_choice,"[ body style = background_Color: yellow ]",0,0,NULL,text,NULL,6
190,50,single_choice,"[ body background = yellow ]",0,0,NULL,text,NULL,7
191,50,single_choice,"[ body color_background = yellow ]",NULL,0,NULL,text,NULL,8
192,51,single_choice,"[a url = http://course.digitalskill.org] CodeCamps [/a]",0,0,NULL,text,NULL,1
193,51,single_choice,"[a name = http://course.digitalskill.org] CodeCamps [/a]",0,0,NULL,text,NULL,2
194,51,single_choice,"[a] http://course.digitalskill.org [/a]",0,0,NULL,text,NULL,3
195,51,single_choice,"[a href= http://course.digitalskill.org] CodeCamps [/a]",1,0,NULL,text,NULL,4
196,51,single_choice,"[link url= http://course.digitalskill.org] CodeCamps [/link]",NULL,0,NULL,text,NULL,5
197,51,single_choice,"[link name= http://course.digitalskill.org] CodeCamps [/link]",NULL,0,NULL,text,NULL,6
198,51,single_choice,"[link] http://course.digitalskill.org [/link]",NULL,0,NULL,text,NULL,7
199,51,single_choice,"[link href= http://course.digitalskill.org] CodeCamps [/link]",NULL,0,NULL,text,NULL,8
200,52,single_choice,"&lt;a url=&quot;http://course.digitalskill.org&quot; new&gt;CodeCamps&lt;/a&gt;",0,0,NULL,text,NULL,1
201,52,single_choice,"&lt;a name=&quot;http://course.digitalskill.org&quot; target=&quot;_blank&quot;&gt;CodeCamps&lt;/a&gt;",0,0,NULL,text,NULL,2
202,52,single_choice,"&lt;a new&gt;http://course.digitalskill.org&lt;/a&gt;",0,0,NULL,text,NULL,3
203,52,single_choice,"&lt;a href=&quot;http://course.digitalskill.org&quot; target=&quot;_blank&quot;&gt;CodeCamps&lt;/a&gt;",1,0,NULL,text,NULL,4
204,52,single_choice,"&lt;link url=&quot;http://course.digitalskill.org&quot; new&gt;CodeCamps&lt;/link&gt;",NULL,0,NULL,text,NULL,5
205,52,single_choice,"&lt;link name=&quot;http://course.digitalskill.org&quot; target=&quot;_blank&quot;&gt;CodeCamps&lt;/link&gt;",NULL,0,NULL,text,NULL,6
206,52,single_choice,"&lt;link new&gt;http://course.digitalskill.org&lt;/link&gt;",NULL,0,NULL,text,NULL,7
207,52,single_choice,"&lt;link href=&quot;http://course.digitalskill.org&quot; target=&quot;_blank&quot;&gt;CodeCamps&lt;/link&gt;",NULL,0,NULL,text,NULL,8
208,53,single_choice,dl,0,0,NULL,text,NULL,1
209,53,single_choice,list,0,0,NULL,text,NULL,2
210,53,single_choice,ul,0,0,NULL,text,NULL,3
211,53,single_choice,ol,1,0,NULL,text,NULL,4
212,53,single_choice,numlist,NULL,0,NULL,text,NULL,5
213,53,single_choice,orderlist,NULL,0,NULL,text,NULL,6
214,53,single_choice,numericlist,NULL,0,NULL,text,NULL,7
215,53,single_choice,breaklist,NULL,0,NULL,text,NULL,8
216,54,single_choice,ตรงไหนก็ได้,0,0,NULL,text,NULL,1
217,54,single_choice,"ในtag  head ",1,0,NULL,text,NULL,2
218,54,single_choice,"ใน tag body",0,0,NULL,text,NULL,3
219,54,single_choice,"ใน tag stylesheet",0,0,NULL,text,NULL,4
220,54,single_choice,"ใน tag ref",0,0,NULL,text,NULL,5
221,54,single_choice,ไว้ล่างสุด,NULL,0,NULL,text,NULL,6
222,54,single_choice,"ไว้ด้านบนสุดเหนือ tag html",NULL,0,NULL,text,NULL,7
223,55,single_choice,iss,0,0,NULL,text,NULL,1
224,55,single_choice,script,0,0,NULL,text,NULL,2
225,55,single_choice,link,0,0,NULL,text,NULL,3
226,55,single_choice,ref,0,0,NULL,text,NULL,4
227,55,single_choice,internalsheet,0,0,NULL,text,NULL,5
228,55,single_choice,style,1,0,NULL,text,NULL,6
229,55,single_choice,css,0,0,NULL,text,NULL,7
230,55,single_choice,scr,NULL,0,NULL,text,NULL,8
231,56,single_choice,ils,0,0,NULL,text,NULL,1
232,56,single_choice,inline,0,0,NULL,text,NULL,2
233,56,single_choice,inlinestyles,0,0,NULL,text,NULL,3
234,56,single_choice,style,1,0,NULL,text,NULL,4
235,56,single_choice,styles,NULL,0,NULL,text,NULL,5
236,56,single_choice,css,NULL,0,NULL,text,NULL,6
237,56,single_choice,script,NULL,0,NULL,text,NULL,7
238,57,single_choice,"ทำใจให้ชิน แล้วดิ่ง ข.ไข่",0,0,NULL,text,NULL,1
239,57,single_choice,"h1 {background-color:#FFFFFF;}",1,0,NULL,text,NULL,2
240,57,single_choice,"h1.all {background-color:#FFFFFF;}",0,0,NULL,text,NULL,3
241,57,single_choice,"all.h1 {background-color:#FFFFFF;}",0,0,NULL,text,NULL,4
242,57,single_choice,"h1#all {background-color:#FFFFFF;}",NULL,0,NULL,text,NULL,5
243,57,single_choice,"all#h1 {background-color:#FFFFFF;}",NULL,0,NULL,text,NULL,6
244,57,single_choice,"h1;all {background-color:#FFFFFF;}",NULL,0,NULL,text,NULL,7
245,57,single_choice,"all;h1 {background-color:#FFFFFF;}",NULL,0,NULL,text,NULL,8
246,58,single_choice,link,0,0,NULL,text,NULL,1
247,58,single_choice,jquery,0,0,NULL,text,NULL,2
248,58,single_choice,js,0,0,NULL,text,NULL,3
249,58,single_choice,javascript,0,0,NULL,text,NULL,4
250,58,single_choice,mairookub,0,0,NULL,text,NULL,5
251,58,single_choice,scripting,0,0,NULL,text,NULL,6
252,58,single_choice,scripts,0,0,NULL,text,NULL,7
253,58,single_choice,script,1,0,NULL,text,NULL,8
254,59,single_choice,"#demo.innerHTML = \"Hello World!\";",0,0,NULL,text,NULL,1
255,59,single_choice,"document.getElement(\"p\") = \"Hello World!\";",0,0,NULL,text,NULL,2
256,59,single_choice,"document.getElement(\"p\").innerHTML = \"Hello World!\";",0,0,NULL,text,NULL,3
257,59,single_choice,"document.getElementById(\"demo\") = \"Hello World!\";",0,0,NULL,text,NULL,4
258,59,single_choice,"document.getElementById(\"demo\").innerHTML = \"Hello World!\";",1,0,NULL,text,NULL,5
259,59,single_choice,"document.getElementByName(\"p\") = \"Hello World!\";",NULL,0,NULL,text,NULL,6
260,59,single_choice,"document.getElementByName(\"p\").innerHTML = \"Hello World!\";",NULL,0,NULL,text,NULL,7
261,59,single_choice,"document.getElementByName(\"demo\").innerHTML = \"Hello World!\";",NULL,0,NULL,text,NULL,8
262,60,single_choice,"alertBox(\"Hello World\");",0,0,NULL,text,NULL,1
263,60,single_choice," log(\"Hello World\");",0,0,NULL,text,NULL,2
264,60,single_choice,"msgbox(\"Hello World\");",0,0,NULL,text,NULL,3
265,60,single_choice,"msg(\"Hello World\");",0,0,NULL,text,NULL,4
266,60,single_choice,"alert-box(\"Hello World\");",0,0,NULL,text,NULL,5
267,60,single_choice,"alerts(\"Hello World\");",0,0,NULL,text,NULL,6
268,60,single_choice,"alert(\"Hello World\");",1,0,NULL,text,NULL,7
269,60,single_choice,"alt(\"Hello World\");",NULL,0,NULL,text,NULL,8
270,61,single_choice,"var colors = 1 = (\"red\"), 2 = (\"green\"), 3 = (\"blue\")",0,0,NULL,text,NULL,1
271,61,single_choice,"var colors = \"red\", \"green\", \"blue\"",0,0,NULL,text,NULL,2
272,61,single_choice,"var colors = [\"red\", \"green\", \"blue\"]",1,0,NULL,text,NULL,3
273,61,single_choice,"var colors = (1:\"red\", 2:\"green\", 3:\"blue\")",NULL,0,NULL,text,NULL,4
274,61,single_choice,"arrays colors = 1 = (\"red\"), 2 = (\"green\"), 3 = (\"blue\")",NULL,0,NULL,text,NULL,5
275,61,single_choice,"arrays colors = \"red\", \"green\", \"blue\"",NULL,0,NULL,text,NULL,6
276,61,single_choice,"arrays colors = [\"red\", \"green\", \"blue\"]",NULL,0,NULL,text,NULL,7
277,61,single_choice,"arrays colors = (1:\"red\", 2:\"green\", 3:\"blue\")",NULL,0,NULL,text,NULL,8
278,62,multiple_choice,"Java เป็นชื่อเรียกแบบสั้น ๆ ของภาษา JavaScript",NULL,0,NULL,text,NULL,1
